decisaoId,fase,titulo,contexto,situacao,pergunta,ativo,ordem,opcaoLetra,opcaoTexto,opcaoTipo,custoDinheiro,custoTempo,custoEnergia,impactoVotos,impactoContatos,impactoReputacao,feedbackEducacional,dicaVitorino
1.3,1,Definição de Posicionamento Político,"Nas primeiras conversas sobre sua candidatura, a pergunta aparece sempre: ""mas você é de esquerda ou de direita?"". Alguns dizem que você precisa ser pragmático pra ampliar alcance. Outros insistem em bandeira clara. Candidato sem posicionamento vira paisagem – mas posicionamento errado fecha portas que você pode precisar abrir.",,Como você vai se posicionar politicamente?,True,2,C,Evitar posicionamento claro,neutro em tudo) ❌ (ruim,0.0,0,0,-7.0,-10,-3.0,"Você está tentando não desagradar ninguém, mas acabou não agradando ninguém. Eleitores querem saber no que você acredita. Ser neutro em tudo passa imagem de fraqueza, oportunismo ou – pior – de alguém que esconde o que realmente pensa.","Política é sobre escolhas. Se você não escolhe nada, os eleitores também não vão te escolher. Já trabalhei com candidato assim – ele achava que estava sendo esperto, mas o eleitor percebia que era só medo de se comprometer."
1.4,1,Primeiras Conversas com Possíveis Apoiadores,"Novembro de 2027. Você decidiu que vai ser candidato, mas ainda não pode anunciar oficialmente. Agora é hora de sondar terreno – descobrir quem pode estar do seu lado quando a disputa começar de verdade. Essas conversas iniciais vão definir se você entra na campanha com uma rede ou sozinho.",,Como você vai abordar possíveis apoiadores?,True,0,A,Conversas individuais honestas sobre seu projeto político,excelente,0.0,25,20,2.5,8,5.0,"Conversas individuais e honestas constroem os apoios mais sólidos. Quando você senta com alguém, olha no olho e explica por que está fazendo isso, a pessoa se sente parte do projeto – não apenas um número.",Apoio verdadeiro vem de quem entende e acredita no seu projeto. Gasta tempo? Gasta. Mas cada pessoa que você conquista assim vira multiplicador. Ela não só vota – ela convence os outros a votar.
1.4,1,Primeiras Conversas com Possíveis Apoiadores,"Novembro de 2027. Você decidiu que vai ser candidato, mas ainda não pode anunciar oficialmente. Agora é hora de sondar terreno – descobrir quem pode estar do seu lado quando a disputa começar de verdade. Essas conversas iniciais vão definir se você entra na campanha com uma rede ou sozinho.",,Como você vai abordar possíveis apoiadores?,True,1,B,Reuniões em grupo para apresentar ideias,boa,0.0,20,15,2.0,6,2.0,"Reuniões em grupo são mais eficientes em tempo, mas perdem a profundidade das conversas individuais. Você apresenta pra muitos de uma vez, mas o compromisso que gera é mais fraco.","Grupo é bom pra apresentar, mas individual é melhor pra conquistar compromisso real. Use grupo pra quem ainda está em cima do muro; use conversa individual pra fechar com quem importa."
1.4,1,Primeiras Conversas com Possíveis Apoiadores,"Novembro de 2027. Você decidiu que vai ser candidato, mas ainda não pode anunciar oficialmente. Agora é hora de sondar terreno – descobrir quem pode estar do seu lado quando a disputa começar de verdade. Essas conversas iniciais vão definir se você entra na campanha com uma rede ou sozinho.",,Como você vai abordar possíveis apoiadores?,True,2,C,Esperar que apoiadores venham até você,ruim,0.0,0,0,-1.0,-5,-3.0,"Candidato que espera apoio chegar é candidato que perde. Política é proatividade. Enquanto você está esperando, seus adversários estão conversando com as pessoas que poderiam estar do seu lado.","Política não é pra tímidos. Vá atrás dos apoios, não espere que venham até você. Ninguém vai bater na sua porta pedindo pra te ajudar a ganhar eleição. Você tem que ir buscar."
1.5,1,Estudo da Legislação Eleitoral,"Dezembro de 2027. Você está empolgado com a campanha, mas tem um detalhe que pode acabar com tudo antes de começar: a legislação eleitoral. É um campo minado de regras que, se você pisar errado, pode resultar em multa, cassação ou até prisão. A maioria dos candidatos só descobre isso quando já é tarde demais.",,Como você vai se preparar juridicamente?,True,0,A,Contratar advogado especializado em direito eleitoral,excelente,1500.0,15,10,0.0,10,5.0,Advogado eleitoral não é luxo – é seguro. Ele te protege das armadilhas legais que você nem sabe que existem e te orienta sobre o que pode e não pode fazer em cada fase da campanha.,"Advogado eleitoral é investimento, não gasto. Um erro jurídico pode cassar sua candidatura mesmo depois de eleito. Já vi vereador tomar posse e perder o mandato três meses depois porque fez besteira na campanha."
1.5,1,Estudo da Legislação Eleitoral,"Dezembro de 2027. Você está empolgado com a campanha, mas tem um detalhe que pode acabar com tudo antes de começar: a legislação eleitoral. É um campo minado de regras que, se você pisar errado, pode resultar em multa, cassação ou até prisão. A maioria dos candidatos só descobre isso quando já é tarde demais.",,Como você vai se preparar juridicamente?,True,1,B,Estudar a legislação por conta própria,boa,0.0,30,20,0.0,3,2.0,"Você está se informando, e isso já te coloca à frente de muitos. Mas legislação eleitoral é complexa e muda frequentemente – você pode perder nuances importantes que fazem a diferença entre campanha legal e crime eleitoral.","Estudar a lei é bom, mas interpretá-la corretamente exige experiência. Combine estudo próprio com orientação profissional. Você pode ler o código de trânsito, mas ainda precisa de instrutor pra aprender a dirigir."
1.5,1,Estudo da Legislação Eleitoral,"Dezembro de 2027. Você está empolgado com a campanha, mas tem um detalhe que pode acabar com tudo antes de começar: a legislação eleitoral. É um campo minado de regras que, se você pisar errado, pode resultar em multa, cassação ou até prisão. A maioria dos candidatos só descobre isso quando já é tarde demais.",,Como você vai se preparar juridicamente?,True,2,C,Confiar que o partido vai orientar,neutra,0.0,5,0,0.5,0,0.0,"Partidos oferecem orientação básica, mas cada candidatura tem suas especificidades. O partido cuida do partido – você precisa cuidar de você.","Partido ajuda, mas não substitui assessoria jurídica própria. O advogado do partido tem 30 candidatos pra orientar. Você precisa de alguém olhando especificamente pra sua campanha."
1.5,1,Estudo da Legislação Eleitoral,"Dezembro de 2027. Você está empolgado com a campanha, mas tem um detalhe que pode acabar com tudo antes de começar: a legislação eleitoral. É um campo minado de regras que, se você pisar errado, pode resultar em multa, cassação ou até prisão. A maioria dos candidatos só descobre isso quando já é tarde demais.",,Como você vai se preparar juridicamente?,True,3,D,Não se preocupar com legislação agora,ruim,0.0,0,0,-2.0,0,-5.0,Ignorar a legislação é receita pra desastre. Você pode cometer irregularidades sem saber e descobrir só quando receber uma notificação da Justiça Eleitoral.,"Desconhecer a lei não é desculpa. Candidato que não conhece as regras está fadado a quebrá-las. E quando quebrar, não adianta chorar – a Justiça Eleitoral não perdoa."
1.6,1,Planejamento Financeiro Inicial,"Janeiro de 2028. Todo mundo sabe que campanha custa dinheiro, mas poucos sabem quanto. Você precisa responder três perguntas antes de seguir em frente: quanto vai precisar, de onde vai vir esse dinheiro, e o que acontece se faltar no meio do caminho?",,Como você vai planejar as finanças?,True,0,A,Contratar contador especializado e fazer planejamento detalhado,excelente,1000.0,20,15,0.0,0,5.0,"Planejamento financeiro profissional evita a pior situação possível: ficar sem dinheiro no momento crucial da campanha, quando cada real faz diferença. Contador especializado também garante que sua prestação de contas não vai virar dor de cabeça.",Dinheiro mal planejado é dinheiro desperdiçado. Já vi candidato gastar tudo no começo e não ter nem pra imprimir santinho na reta final. Contador te ajuda a dosar o ritmo certo.
1.6,1,Planejamento Financeiro Inicial,"Janeiro de 2028. Todo mundo sabe que campanha custa dinheiro, mas poucos sabem quanto. Você precisa responder três perguntas antes de seguir em frente: quanto vai precisar, de onde vai vir esse dinheiro, e o que acontece se faltar no meio do caminho?",,Como você vai planejar as finanças?,True,1,B,Fazer planilha própria com estimativas,boa,0.0,25,20,0.0,0,2.0,"Você está se organizando, e isso já te diferencia da maioria. Mas planilha própria tem armadilhas: você pode subestimar custos, esquecer itens importantes ou não prever imprevistos.","Planilha própria é bom começo, mas sempre adicione 20% de margem pra imprevistos. Campanha nunca sai como planejado – sempre aparece gasto que você não previu."
1.6,1,Planejamento Financeiro Inicial,"Janeiro de 2028. Todo mundo sabe que campanha custa dinheiro, mas poucos sabem quanto. Você precisa responder três perguntas antes de seguir em frente: quanto vai precisar, de onde vai vir esse dinheiro, e o que acontece se faltar no meio do caminho?",,Como você vai planejar as finanças?,True,2,C,Ir gastando conforme necessidade,ruim,0.0,0,0,-3.0,0,-3.0,"Gastar sem planejamento é a forma mais rápida de quebrar a campanha. Você vai descobrir que está sem dinheiro justamente quando mais precisar – na reta final, quando cada voto conta.","Campanha sem planejamento financeiro é como viagem sem mapa. Você pode até chegar, mas provavelmente vai se perder no caminho – e gastar o triplo do que precisava."
2.1,2,Formação da Equipe de Campanha,"Abril de 2028. Chegou a hora de montar sua equipe. Candidato que tenta fazer tudo sozinho não consegue estar em todos os lugares – e eleição de vereador é justamente sobre estar presente. A pergunta não é se você precisa de equipe, mas que tipo de equipe você consegue montar com os recursos que tem.",,Como você vai formar sua equipe?,True,0,A,Contratar profissionais experientes para funções-chave,excelente,3000.0,30,25,5.0,15,5.0,"Profissionais experientes trazem o que você não tem: conhecimento de campanhas anteriores, contatos que levaram anos pra construir e a capacidade de resolver problemas antes que virem crises.","Equipe profissional é diferencial. Coordenador experiente, assessor de comunicação competente, tesoureiro organizado... cada um deles já viu campanha dar errado e sabe como evitar os mesmos erros."
2.1,2,Formação da Equipe de Campanha,"Abril de 2028. Chegou a hora de montar sua equipe. Candidato que tenta fazer tudo sozinho não consegue estar em todos os lugares – e eleição de vereador é justamente sobre estar presente. A pergunta não é se você precisa de equipe, mas que tipo de equipe você consegue montar com os recursos que tem.",,Como você vai formar sua equipe?,True,1,B,Recrutar voluntários comprometidos,boa,0.0,35,30,3.0,10,2.0,"Voluntários comprometidos são valiosos porque acreditam em você de verdade. Mas voluntário é voluntário – pode faltar em momentos críticos, pode não ter a experiência necessária, pode cansar no meio do caminho.","Voluntários são a alma da campanha, mas precisam de coordenação profissional pra render. Gente de boa vontade sem direção é energia desperdiçada."
2.1,2,Formação da Equipe de Campanha,"Abril de 2028. Chegou a hora de montar sua equipe. Candidato que tenta fazer tudo sozinho não consegue estar em todos os lugares – e eleição de vereador é justamente sobre estar presente. A pergunta não é se você precisa de equipe, mas que tipo de equipe você consegue montar com os recursos que tem.",,Como você vai formar sua equipe?,True,2,C,Contar apenas com família e amigos próximos,neutra,0.0,20,15,1.0,3,0.0,"Família e amigos são leais, e lealdade tem valor. Mas campanha precisa de competência técnica e disponibilidade total – coisas que nem sempre a família consegue oferecer.","Família ajuda, mas misturar demais vida pessoal com campanha gera conflitos. Seu cunhado pode ser leal, mas se ele não souber fazer o trabalho, lealdade não basta."
2.1,2,Formação da Equipe de Campanha,"Abril de 2028. Chegou a hora de montar sua equipe. Candidato que tenta fazer tudo sozinho não consegue estar em todos os lugares – e eleição de vereador é justamente sobre estar presente. A pergunta não é se você precisa de equipe, mas que tipo de equipe você consegue montar com os recursos que tem.",,Como você vai formar sua equipe?,True,3,D,Fazer tudo sozinho,ruim,0.0,50,50,-5.0,0,-3.0,"Candidato que faz tudo sozinho não consegue estar em todos os lugares – e enquanto você está resolvendo problema de logística, está perdendo oportunidade de conquistar votos.","Candidato não é super-herói. Delegar é essencial. Quem tenta fazer tudo não faz nada bem. Você precisa estar na rua, não resolvendo burocracia."
2.2,2,Estratégia de Redes Sociais,"Redes sociais podem ser sua maior aliada ou sua maior armadilha. Usadas direito, te conectam com milhares de eleitores sem gastar quase nada. Usadas errado, viram fábrica de crises que você vai passar a campanha inteira tentando apagar.",,Como você vai trabalhar suas redes sociais?,True,0,A,Contratar social media profissional e criar calendário editorial,excelente,2000.0,20,15,8.0,12,5.0,"Social media profissional entende o que você não tem tempo de aprender: algoritmos, melhores horários, formatos que engajam e – mais importante – como evitar as crises que derrubam candidatos amadores.","Redes sociais são ciência. Profissional sabe que vídeo vertical engaja mais que horizontal, que terça-feira rende mais que domingo, que post com rosto performa melhor que paisagem. São detalhes que somados fazem diferença enorme."
2.2,2,Estratégia de Redes Sociais,"Redes sociais podem ser sua maior aliada ou sua maior armadilha. Usadas direito, te conectam com milhares de eleitores sem gastar quase nada. Usadas errado, viram fábrica de crises que você vai passar a campanha inteira tentando apagar.",,Como você vai trabalhar suas redes sociais?,True,1,B,Gerenciar você mesmo com dedicação,boa,0.0,40,35,4.0,6,2.0,"Você mantém autenticidade – e autenticidade vale ouro nas redes. Mas gerenciar redes consome tempo que talvez você devesse estar usando pra bater porta, e pode faltar técnica pra alcançar quem ainda não te conhece.","Gerenciar suas redes é válido, mas exige muito tempo. Avalie se não é melhor delegar. Cada hora que você passa editando vídeo é hora que não está na rua apertando mão."
2.2,2,Estratégia de Redes Sociais,"Redes sociais podem ser sua maior aliada ou sua maior armadilha. Usadas direito, te conectam com milhares de eleitores sem gastar quase nada. Usadas errado, viram fábrica de crises que você vai passar a campanha inteira tentando apagar.",,Como você vai trabalhar suas redes sociais?,True,2,C,Postar quando der tempo,neutra,0.0,15,10,1.0,2,0.0,"Inconsistência nas redes é quase pior que ausência. Algoritmos penalizam quem não posta regularmente, e eleitores esquecem quem só aparece de vez em quando.","Redes sociais exigem constância. Postar de vez em quando é quase o mesmo que não postar. Se você não vai fazer direito, talvez seja melhor concentrar energia em outra frente."
2.2,2,Estratégia de Redes Sociais,"Redes sociais podem ser sua maior aliada ou sua maior armadilha. Usadas direito, te conectam com milhares de eleitores sem gastar quase nada. Usadas errado, viram fábrica de crises que você vai passar a campanha inteira tentando apagar.",,Como você vai trabalhar suas redes sociais?,True,3,D,Não usar redes sociais,ruim,0.0,0,0,-8.0,-10,-5.0,"Em 2028, não usar redes sociais é praticamente desistir de uma fatia enorme do eleitorado. Você pode achar que faz campanha ""à moda antiga"", mas seus adversários estão alcançando milhares enquanto você alcança dezenas.","Candidato sem redes sociais em 2028 é como candidato sem santinho nos anos 90. Você simplesmente não existe pra muita gente. Pode não gostar, mas a realidade é essa."
2.3,2,Primeira Reunião com Lideranças,"Lideranças comunitárias, religiosas e empresariais não votam sozinhas – elas influenciam grupos inteiros. Uma boa reunião com elas pode te abrir portas que levaria meses pra conseguir sozinho. Uma reunião mal feita pode fechá-las pra sempre.",,Como você vai conduzir essa reunião?,True,0,A,Preparar apresentação profissional e ouvir demandas,excelente,500.0,25,20,6.0,15,5.0,"Apresentação profissional mostra que você leva isso a sério. Mas o segredo está em OUVIR – lideranças querem ser consultadas, não convencidas. Quem pergunta mais do que fala conquista mais apoio.","Lideranças querem ser ouvidas. Vá preparado pra apresentar, mas principalmente pra escutar. Anota o que eles falam, volta depois com respostas. Isso mostra respeito."
2.3,2,Primeira Reunião com Lideranças,"Lideranças comunitárias, religiosas e empresariais não votam sozinhas – elas influenciam grupos inteiros. Uma boa reunião com elas pode te abrir portas que levaria meses pra conseguir sozinho. Uma reunião mal feita pode fechá-las pra sempre.",,Como você vai conduzir essa reunião?,True,1,B,Conversa informal para conhecer as pessoas,boa,0.0,20,15,3.0,10,2.0,Informalidade cria proximidade e evita parecer que você está só querendo usar as pessoas. Mas pode passar imagem de falta de preparo – e lideranças respeitam quem chega preparado.,"Informal é bom pra criar conexão, mas tenha algo concreto pra apresentar também. Liderança quer saber que você não é só simpático – quer saber que você tem plano."
2.3,2,Primeira Reunião com Lideranças,"Lideranças comunitárias, religiosas e empresariais não votam sozinhas – elas influenciam grupos inteiros. Uma boa reunião com elas pode te abrir portas que levaria meses pra conseguir sozinho. Uma reunião mal feita pode fechá-las pra sempre.",,Como você vai conduzir essa reunião?,True,2,C,Ir sem preparo e improvisar,ruim,0.0,15,10,-3.0,-5,-3.0,Lideranças percebem falta de preparo na hora. E primeira impressão conta muito – você pode perder apoios antes mesmo de começar a campanha.,"Primeira impressão é a que fica. Ir despreparado pra reunião com lideranças é tiro no pé. Eles vão pensar: se ele não se preparou pra uma reunião, como vai se preparar pra um mandato?"
2.4,2,Definição de Propostas Iniciais,"Todo candidato promete melhorar a cidade, mas promessa vazia não convence mais ninguém. Você precisa de propostas que sejam ao mesmo tempo relevantes pro eleitor, viáveis tecnicamente e diferentes do que todo mundo está falando.",,Como você vai definir suas propostas?,True,0,A,Pesquisar demandas reais e criar propostas viáveis com assessoria técnica,excelente,2000.0,35,30,10.0,12,5.0,Propostas baseadas em pesquisa e validadas tecnicamente são blindagem contra ataques de adversários. Ninguém consegue te chamar de populista quando você mostra os números que sustentam cada promessa.,Proposta boa resolve problema real e pode ser implementada. Assessoria técnica te dá credibilidade: você não está prometendo – está apresentando solução estudada.
2.4,2,Definição de Propostas Iniciais,"Todo candidato promete melhorar a cidade, mas promessa vazia não convence mais ninguém. Você precisa de propostas que sejam ao mesmo tempo relevantes pro eleitor, viáveis tecnicamente e diferentes do que todo mundo está falando.",,Como você vai definir suas propostas?,True,1,B,Criar propostas baseadas no que você acredita,boa,0.0,25,20,5.0,6,2.0,"Autenticidade é importante – você precisa acreditar no que propõe. Mas suas crenças podem não coincidir com as prioridades do eleitorado, e você pode descobrir isso tarde demais.","Acreditar no que propõe é essencial – você vai ter que defender isso em debate. Mas valide com pesquisa se é o que o povo quer. Às vezes o que você acha urgente, eleitor acha secundário."
2.4,2,Definição de Propostas Iniciais,"Todo candidato promete melhorar a cidade, mas promessa vazia não convence mais ninguém. Você precisa de propostas que sejam ao mesmo tempo relevantes pro eleitor, viáveis tecnicamente e diferentes do que todo mundo está falando.",,Como você vai definir suas propostas?,True,2,C,Copiar propostas de candidatos bem-sucedidos,neutra,0.0,15,10,2.0,3,0.0,"Copiar pode funcionar, mas você perde autenticidade – e corre o risco de ser desmascarado. Além disso, o que funcionou em outra cidade pode não fazer sentido na sua.","Inspirar-se é válido, copiar é arriscado. Adapte pra sua realidade local. Proposta que elegeu vereador em Curitiba pode não fazer sentido no interior do Nordeste."
2.4,2,Definição de Propostas Iniciais,"Todo candidato promete melhorar a cidade, mas promessa vazia não convence mais ninguém. Você precisa de propostas que sejam ao mesmo tempo relevantes pro eleitor, viáveis tecnicamente e diferentes do que todo mundo está falando.",,Como você vai definir suas propostas?,True,3,D,Prometer tudo que o povo quer ouvir,ruim,0.0,10,0,3.0,0,-5.0,"Promessas irreais podem até atrair votos no começo, mas eleitores estão cada vez mais céticos. E adversários vão usar suas promessas impossíveis pra te atacar.","Prometer o impossível é receita pra ser visto como mentiroso. Eleitor de 2028 pesquisa, verifica, compara. Se você prometer o que não pode cumprir, vai ser desmascarado antes do dia da eleição."
2.5,2,Escolha do Partido,"Você precisa de um partido pra concorrer – não existe candidatura avulsa no Brasil. Mas partido não é só formalidade: ele afeta sua campanha em estrutura, recursos, tempo de TV e imagem. Entrar no partido errado pode te custar a eleição antes de começar.",,Como você vai escolher seu partido?,True,0,A,Escolher partido alinhado ideologicamente com boa estrutura local,excelente,0.0,30,25,8.0,20,5.0,"Partido que combina com seus valores E tem estrutura pra te ajudar é o melhor dos mundos. Você não vai ter que fingir ser quem não é, e vai ter apoio real quando precisar.",Partido certo é aquele que combina com você E tem estrutura pra te ajudar. Não adianta um sem o outro. Partido alinhado mas fraco não te elege. Partido forte mas desalinhado te faz passar vergonha.
2.5,2,Escolha do Partido,"Você precisa de um partido pra concorrer – não existe candidatura avulsa no Brasil. Mas partido não é só formalidade: ele afeta sua campanha em estrutura, recursos, tempo de TV e imagem. Entrar no partido errado pode te custar a eleição antes de começar.",,Como você vai escolher seu partido?,True,1,B,Escolher partido com mais tempo de TV,boa,0.0,20,15,5.0,10,2.0,"Tempo de TV ajuda, mas pra vereador o impacto é menor do que você imagina. Vereador se elege mais no corpo a corpo do que na televisão.","Tempo de TV é bom, mas não superestime. Pra prefeito, TV é fundamental. Pra vereador, você aparece 10 segundos e some. Corpo a corpo ainda é o que elege."
2.5,2,Escolha do Partido,"Você precisa de um partido pra concorrer – não existe candidatura avulsa no Brasil. Mas partido não é só formalidade: ele afeta sua campanha em estrutura, recursos, tempo de TV e imagem. Entrar no partido errado pode te custar a eleição antes de começar.",,Como você vai escolher seu partido?,True,2,C,Escolher qualquer partido que aceite sua candidatura,neutra,0.0,10,5,1.0,3,0.0,"Você garante a candidatura, mas pode ficar num partido sem estrutura ou com imagem que atrapalha mais do que ajuda.","Entrar em qualquer partido é melhor que não concorrer, mas escolha com cuidado se puder. Partido com imagem ruim pode te contaminar antes de você abrir a boca."
